ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor(s),Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,CombinedWith,Description
18829,AIRS,100,001,Laboratory,"0","Glen Gilson, Cary Mittelmark, DJ Smith, David Gupton, -","Tu 3:30pm - 5:30pm","","Leadership Laboratory","",Open,46,100,0,"","A mandatory laboratory in leadership and followership development for AFROTC cadets. As a complement to the air science classes, this laboratory focuses on applying leadership principles and understanding leaders' responsibilities while emphasizing the benefits of practical experience. (2 hrs.)  Prerequisite: Enrollment in Air Force ROTC."
18921,AIRS,100,002,Laboratory,"0","Glen Gilson, Cary Mittelmark, DJ Smith, David Gupton, -","Tu 3:30pm - 5:00pm","","Leadership Laboratory","",Closed,1,1,0,"","A mandatory laboratory in leadership and followership development for AFROTC cadets. As a complement to the air science classes, this laboratory focuses on applying leadership principles and understanding leaders' responsibilities while emphasizing the benefits of practical experience. (2 hrs.)  Prerequisite: Enrollment in Air Force ROTC."
18824,AIRS,1200,001,Lecture,"1","Kevin Bibb, Cary Mittelmark","Tu 1:00pm - 1:50pm","","Foundations of USAF II","",Open,9,50,0,"","This course provides an introduction to the Air Force, hopefully encouraging students to pursue an AF career or at least seek additional information to be better informed about the role of the USAF. The course allows students to examine general aspects of the Department of the Air Force, AF Leadership, Air Force benefits, and opportunities for AF officers. Students should demonstrate basic verbal and written communication skills."
18825,AIRS,1200,002,Lecture,"1","Kevin Bibb, Cary Mittelmark","We 1:00pm - 1:50pm","","Foundations of USAF II","",Open,4,35,0,"","This course provides an introduction to the Air Force, hopefully encouraging students to pursue an AF career or at least seek additional information to be better informed about the role of the USAF. The course allows students to examine general aspects of the Department of the Air Force, AF Leadership, Air Force benefits, and opportunities for AF officers. Students should demonstrate basic verbal and written communication skills."
18875,AIRS,2200,001,Lecture,"1","David Gupton, Cary Mittelmark, Kevin Bibb","Tu 2:00pm - 2:50pm","","Team and Leadership Fundamentals II","",Open,10,35,0,"","This course is designed to provide a fundamental understanding of both leadership and team building. There are many layers to leadership, including aspects that don't always jump to mind. Such things include listening, understanding yourself, being a good follower, and problem solving efficiently. Students will apply these leadership perspectives when completing team building activities and discussing things such as conflict management. Students should demonstrate basic verbal and written communication skills."
18826,AIRS,2200,002,Lecture,"1","David Gupton, Cary Mittelmark, Kevin Bibb","We 2:00pm - 2:50pm","","Team and Leadership Fundamentals II","",Open,7,35,0,"","This course is designed to provide a fundamental understanding of both leadership and team building. There are many layers to leadership, including aspects that don't always jump to mind. Such things include listening, understanding yourself, being a good follower, and problem solving efficiently. Students will apply these leadership perspectives when completing team building activities and discussing things such as conflict management. Students should demonstrate basic verbal and written communication skills."
18827,AIRS,3200,001,Lecture,"3","Glen Gilson, Cary Mittelmark, Kevin Bibb","Tu 12:30pm - 1:45pm","","Concepts of Air Force Leadership and Management","",Open,6,25,0,"","Focuses on the study of leadership, management fundamentals, professional knowledge, Air Force personnel and evaluation systems, leadership ethics, and communication skills required of an Air Force junior officer. Case studies are used to examine Air Force leadership, core values, and military ethics as a means of demonstrating and exercising practical application of the concepts being studied. Prerequisite: Officer Field Training attendance; corequisite: AIRS 100. (2 hrs.)"
18830,AIRS,3200,002,Lecture,"3","Glen Gilson, Cary Mittelmark, Kevin Bibb","Mo 12:30pm - 3:00pm","","Concepts of Air Force Leadership and Management","",Open,2,15,0,"","Focuses on the study of leadership, management fundamentals, professional knowledge, Air Force personnel and evaluation systems, leadership ethics, and communication skills required of an Air Force junior officer. Case studies are used to examine Air Force leadership, core values, and military ethics as a means of demonstrating and exercising practical application of the concepts being studied. Prerequisite: Officer Field Training attendance; corequisite: AIRS 100. (2 hrs.)"
18828,AIRS,4200,001,Lecture,"3","Jason Bell, -, Cary Mittelmark, Daniel Moy, Kevin Bibb","Tu 12:30pm - 1:45pm","","National Security Affairs/Preparation for Active Duty","",Open,0,24,0,"","Examines military law, regional studies, advanced leadership ethics, and Air Force doctrine. Topics include the military as a profession, officership, preparation for active duty, and current issues affecting the military. Emphasizes refining communication skills through cadet presentations. Prerequisite: AIRS 3100 and/or 3200; corequisite: AIRS 100. (2 hrs.)"
18831,AIRS,4200,002,Lecture,"3","Jason Bell, Cary Mittelmark, Daniel Moy, Kevin Bibb","We 8:30am - 11:00am","","National Security Affairs/Preparation for Active Duty","",Open,2,24,0,"","Examines military law, regional studies, advanced leadership ethics, and Air Force doctrine. Topics include the military as a profession, officership, preparation for active duty, and current issues affecting the military. Emphasizes refining communication skills through cadet presentations. Prerequisite: AIRS 3100 and/or 3200; corequisite: AIRS 100. (2 hrs.)"
10032,ALAR,8020,001,STO,"6","To Be Announced","TuTh 12:30pm - 5:00pm","","Research Studio 2","",Open,33,80,0,"","Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Typical projects include brownfields, urban landscape infrastructure, and sustainable designs. Some studios sections for this course may have an embedded travel. Prerequisite: ALAR 8010"
10088,ALAR,8995,002,STO,"6","Matthew Jull, Nana Last","TuTh 12:30pm - 5:00pm","","Thesis II","",Open,19,28,0,"","Thesis II . Prerequisite: ALAR 8100 and permission of the chair."
20967,AMST,2421,001,SEM,"3","Anneleise Azua","TuTh 3:30pm - 4:45pm","","Borderlands Food and Culture","",Open,22,30,6,"","This course examines foodways (the ideas, practices, and material realities surrounding food) through the interdisciplinary lens of American Studies. Focusing on borderlands as sites of cultural exchange, conflict, and creativity, we will explore how food shapes and is shaped by histories of migration, empire, race, class, gender, and labor."
13272,AMST,2500,001,Lecture,"3","David Coyoca","TuTh 9:30am - 10:45am","","Major Works for American Studies","Commodify Race/Gender/Sexualty",Wait List,18,18,3,"","Topics vary according to instructor. The goal of the course is to introduce students to interdisciplinary work in American Studies by juxtaposing works across disciplinary boundaries and from different methodological perspectives."
20127,AMST,2559,001,Lecture,"3","David Coyoca","TuTh 2:00pm - 3:15pm","","New Course in American Studies","Coming of Age in the U.S.",Wait List,18,18,6,"","New Course in subject of American Studies."
13215,AMST,3001,001,SEM,"3","Sandhya Shukla","TuTh 9:30am - 10:45am","","Theories and Methods of American Studies","",Open,2,18,0,"","This seminar course will introduce majors to various theories and methods for the practice of American Studies. The three goals of the seminars are (1) to make students aware of their own interpretive practices; (2) to equip them with information and conceptual tools they will need for advanced work in American Studies; and (3) to provide them with comparative approaches to the study of various aspects of the United States. Prerequisites: American Studies Major"
11997,AMST,3180,100,Lecture,"3","Sylvia Chong","MoWe 9:00am - 9:50am","","Introduction to Asian American Studies","",Open,43,60,0,"AMST 3180-100, ENGL 3740-100","An interdisciplinary introduction to the culture and history of Asians and Pacific Islanders in America. Examines ethnic communities such as Chinese, Japanese, Filipino, Korean, Asian Indian, and Native Hawaiian, through themes such as immigration, labor, cultural production, war, assimilation, and politics. Texts are drawn from genres such as legal cases, short fiction, musicals, documentaries, visual art, and drama."
12447,AMST,3180,101,Discussion,"0","To Be Announced","Fr 12:00pm - 12:50pm","","Introduction to Asian American Studies","",Open,14,15,0,"AMST 3180-101, ENGL 3740-101","An interdisciplinary introduction to the culture and history of Asians and Pacific Islanders in America. Examines ethnic communities such as Chinese, Japanese, Filipino, Korean, Asian Indian, and Native Hawaiian, through themes such as immigration, labor, cultural production, war, assimilation, and politics. Texts are drawn from genres such as legal cases, short fiction, musicals, documentaries, visual art, and drama."
12448,AMST,3180,102,Discussion,"0","To Be Announced","Fr 9:00am - 9:50am","","Introduction to Asian American Studies","",Open,12,15,0,"AMST 3180-102, ENGL 3740-102","An interdisciplinary introduction to the culture and history of Asians and Pacific Islanders in America. Examines ethnic communities such as Chinese, Japanese, Filipino, Korean, Asian Indian, and Native Hawaiian, through themes such as immigration, labor, cultural production, war, assimilation, and politics. Texts are drawn from genres such as legal cases, short fiction, musicals, documentaries, visual art, and drama."
12449,AMST,3180,103,Discussion,"0","To Be Announced","Fr 11:00am - 11:50am","","Introduction to Asian American Studies","",Closed,15,15,0,"AMST 3180-103, ENGL 3740-103","An interdisciplinary introduction to the culture and history of Asians and Pacific Islanders in America. Examines ethnic communities such as Chinese, Japanese, Filipino, Korean, Asian Indian, and Native Hawaiian, through themes such as immigration, labor, cultural production, war, assimilation, and politics. Texts are drawn from genres such as legal cases, short fiction, musicals, documentaries, visual art, and drama."
12450,AMST,3180,104,Discussion,"0","To Be Announced","Fr 10:00am - 10:50am","","Introduction to Asian American Studies","",Open,2,15,0,"AMST 3180-104, ENGL 3740-104","An interdisciplinary introduction to the culture and history of Asians and Pacific Islanders in America. Examines ethnic communities such as Chinese, Japanese, Filipino, Korean, Asian Indian, and Native Hawaiian, through themes such as immigration, labor, cultural production, war, assimilation, and politics. Texts are drawn from genres such as legal cases, short fiction, musicals, documentaries, visual art, and drama."
19881,AMST,3280,001,SEM,"3","Kasey Jernigan","MoWe 3:30pm - 4:45pm","","Introduction to Native American Studies: (Mis)Representations","",Closed,15,15,0,"ANTH 3280-001, AMST 3280-001","An intro to the broad field of Native Studies, this class focuses on themes of representation and erasure. We read Indigenous scholars and draw from current events, pop culture, and historical narrative to explore complex relationships between historical and contemporary issues that Indigenous peoples face in the US. We examine the foundations of Native representations and their connections to critical issues in Native communities."
20249,AMST,3326,001,Lecture,"3","Anneleise Azua","TuTh 9:30am - 10:45am","","Latinx and Indigenous Environmentalisms","",Wait List,30,30,1,"","This course examines the relationship between Latinx and Indigenous communities and the environment from a sociocultural, anthropological and historical perspective.Texts encompass the fields of history, anthropology, sociology, environmental studies, and often require thinking and analysis that questions understandings of land, development, race, science, health, and wellness on a state, local, and international level."
20965,AMST,3428,001,SEM,"3","Fiona Ngo","TuTh 2:00pm - 3:15pm","","Race, Gender, Music","",Wait List,18,18,6,"","This class explores the political connections between race, gender, and music. The course considers questions of representation, the practice and politics of listening, the political and economic modes of production, and racial formation. In order to explore these topics, this version of the course is broken into three thematic sections: Sound, Score, and Structure. The course is taught intersectionally, meaning we will deal with issues of race, gender, sexuality, labor, and national identity. "
